game,publisher,min_rtp,max_rtp,default_rtp
Retromania,Endorphina,96.0,96.0,
Safari (Endorphina),Endorphina,96.0,96.0,
Satoshi's Secret,Endorphina,96.0,96.0,
Shaman,Endorphina,96.0,96.0,
Sparkling Fresh,Endorphina,96.0,96.0,
Stone Age (Endorphina),Endorphina,96.0,96.0,
Sushi (Endorphina),Endorphina,96.0,96.0,
Temple Cats,Endorphina,96.0,96.0,
The Emirate,Endorphina,96.0,96.0,
The King (Endorphina),Endorphina,96.0,96.0,
The Ninja,Endorphina,96.0,96.0,
The Vampires,Endorphina,96.0,96.0,
The Vikings (Endorphina),Endorphina,96.0,96.0,
Ultra Fresh,Endorphina,96.0,96.0,
Undine's Deep,Endorphina,96.0,96.0,
Urartu,Endorphina,96.0,96.0,
Wild Fruits (Endorphina),Endorphina,96.0,96.0,
Football: Champions Cup,NetEnt,96.82,96.82,
Legend of the Golden Monkey,Yggdrasil,96.1,96.1,
When Pigs Fly (Netent),NetEnt,97.0,97.0,
Bollywood Story,NetEnt,96.1,96.1,
Theme Park: Tickets of Fortune,NetEnt,96.52,96.52,
Cloud Quest,Play'n Go,94.54,94.54,
100 Hand All American (NetEnt) Game ᐈ RTP + Game info,NetEnt,98.11,98.11,
Aztec Idols,Play'n Go,94.15,94.15,
Bohemia Joker Demo & Slot Review,Casimi,96.98,96.98,
Book of Dead Demo & Review,Play'n Go,94.25,94.25,
Cats and Cash,Play'n Go,94.12,94.12,
Poltava - flames of war,ELK Studios,96.4,96.4,
Chinese New Year (Play'n Go),Play'n Go,94.15,94.15,
Cops'N Robbers (Play'n Go),Play'n Go,94.43,94.43,
Dragon Ship,Play'n Go,94.01,94.01,
Voodoo,Endorphina,96.0,96.0,
Twerk,Endorphina,96.0,96.0,
Gumball 3000,Others,94.0,94.0,
Gunslinger (Others),Others,96.0,96.0,
Happy Halloween,Play'n Go,94.59,94.59,
Jazz of New Orleans,Games Inc,96.2,96.2,
Jewel Box,Play'n Go,93.96,93.96,
Jolly Roger (Play'n Go),Play'n Go,94.98,94.98,
Kummeli,Others,94.17,94.17,
Lady of Fortune,Play'n Go,93.96,93.96,
Leprechaun Goes Egypt,Play'n Go,94.79,94.79,
Merry Xmas (Play'n Go),Play'n Go,93.96,93.96,
Myth,Play'n Go,94.83,94.83,
Ninja Fruits,Play'n Go,94.15,94.15,
Pearl Lagoon,Play'n Go,94.83,94.83,
Pearls of India,Play'n Go,94.87,94.87,
Photo Safari,Play'n Go,94.17,94.17,
Pimped,Play'n Go,94.51,94.51,
Rage to Riches,Play'n Go,94.85,94.85,
