game,publisher,min_rtp,max_rtp,default_rtp
Easter Surprise,Playtech,97.1,97.1,
Football Rules,Playtech,97.1,97.1,
Freya Arrow of the North,PlayPearls,97.1,97.1,
Fruit Million,BGaming,97.1,97.1,
Halloween Fortune,Playtech,97.1,97.1,
Highway Kings,Playtech,97.1,97.1,
Jack Hammer 2,Net Entertainment,97.1,97.1,
Jackpot Diamonds,Mazooma,97.1,97.1,
Lotto Madness,Playtech,97.1,97.1,
Lucky Lady's Charm Deluxe,Novomatic,97.1,97.1,
Mad Dash,Microgaming,97.1,97.1,
Medusa II,NextGen Gaming,97.1,97.1,
Monster Wins,NextGen Gaming,97.1,97.1,
Santa Surprise,Playtech,97.1,97.1,
Secrets of Atlantis,Net Entertainment,97.1,97.1,
Spud O'Reilly's Crops of Gold,Playtech,97.1,97.1,
Summer Holiday,Microgaming,97.1,97.1,
The Tipsy Tourist,Betsoft,97.1,97.1,
Toki Time,Thunderkick,97.1,97.1,
Tut's Twister,Yggdrasil Gaming,97.1,97.1,
Beauty and the Beast,Yggdrasil Gaming,96.3,97.1,
Wild West,Mazooma,95.1,97.1,
Spin Sorceress,NextGen Gaming,94.6,97.1,
Demolition Squad,NetEnt,97.1,97.1,
Temple of Luxor,Genesis,97.1,97.1,
Fruit Boxes,iSoftBet,97.1,97.1,
Wisps,iSoftBet,97.1,97.1,
The Angler,Betsoft,97.1,97.1,
Slot bound,Spinomenal,97.1,97.1,
Osiris,GamesLab,97.094,97.094,
The Great Cashby,Genesis,97.09,97.09,
Beverley Hills 90210,iSoftBet,97.09,97.09,
Gold Bars Nudge,Cayetano Gaming,97.08,97.08,
Rebets Splendour,Eyecon,97.0,97.073,97.073
Treasure Island,Quickspin,97.07,97.07,
Jack Hammer 2,NetEnt,97.07,97.07,
Secrets of Atlantis,NetEnt,97.07,97.07,
Medusa 2,NextGen,97.07,97.07,
Jackpot Diamonds,Novomatic,97.07,97.07,
Easter Egg Hunt,MultiSlot,97.07,97.07,
Jukepot,NYX Gaming Group,97.07,97.07,
Medusa 2 HQ,NextGen,97.07,97.07,
Year of Luck,Spinomenal,97.063,97.063,
Empires Warlords,Spinomenal,97.063,97.063,
Mystic Monkeys,Genesis,97.06,97.06,
Wild West,Novomatic,97.06,97.06,
Desert Treasure,Playtech,97.05,97.05,
Supernova,Quickspin,97.05,97.05,
Antique Riches,Genesis,97.05,97.05,
Spud OReillys Crops of Gold,Playtech,97.05,97.05,
Vikings,Capecod Gaming,97.05,97.05,
Steam Tower,NetEnt,97.04,97.04,
Fortunes of Sparta,Blueprint,97.04,97.04,
Arctic Bear,MultiSlot,97.04,97.04,
Ring the Bells,Games Inc,97.03,97.03,
True Sheriff,Betsoft,97.03,97.03,
Reel Crime: Art Heist,Rival Gaming,97.03,97.03,
Rambo,iSoftBet,97.02,97.02,
Moon Temple,Lightning Box,97.02,97.02,
Mamma Mia 2D,1X2gaming,97.02,97.02,
